district,district_value,mandal,mandal_value,village,village_value,property_type
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,A.KOTHAVALASA,306300,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Addategela,306203,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Ananthagiri,306078,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,BOODI,306098,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bailaguda,306072,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Baliyaguda,306256,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Ballagaruvu,306231,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Ballamamidi,306057,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Banda Konda,306236,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Banda Valasa,306252,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bangarampeta,306116,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Banjoda,306176,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bembi,306267,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bhagamarivalasa,306261,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bhalluguda,306134,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bheemavaram,306029,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bheesupuram,306008,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Billakamba,306210,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Billakota,306028,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bodaguda,306063,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Boddaputtu,306206,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bonduguda,306007,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bondyaguda,306004,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bongija,306045,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Bonuru,306185,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Boringuvalasa,306020,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Borrapalem,306219,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Buddigaruvu,306197,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Buliyaguda,306034,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Buruga,306044,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Burugulapadu,306159,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Busipadu,306143,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chappadi,306011,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chatakamba,306218,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Cheedi Valasa,306058,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Cheedi Valasa,306118,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Cheedi Valasa,306146,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Cheedigaruvu,306189,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Cheedimetta,306229,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Cherukubidda,306274,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Cherukumadata,306130,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chhedivalasa,306290,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chilakalagedda,306109,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chimiti,306154,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,China Buruga,306221,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,China Konela,306047,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,China Rabha,306041,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chindugulapadu,306222,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chinta Paka,306228,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chintalapalem,306242,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chippapalle,306031,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chittam Valasa,306131,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chittampadu,306036,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Chittamvalasa,306191,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,DAYARTI,306233,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Dabbalapadu,306100,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Dabbalapalem,306107,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Damasala Valasa,306169,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Damsarai,306117,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Damuku,306087,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Damuku Rai,306162,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Dandabadu,306122,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Dekkapuram,306012,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Dhanukonda,306139,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Dibbapalem,306244,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Diguva Kambavalasa,306124,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Diguva Mallelu,306149,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Diguvasobha,306064,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Diguvasonabha,306280,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Donkaiputtu,306182,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Doravalasa,306260,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Dumbrivalasa,306050,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Eetamanu Valasa,306138,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Eguva Mallelu,306148,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Eguvamamidi,306015,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Eguvasobha,306067,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gaddibanda,306186,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gadiguda,306025,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gadilalova,306040,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gangavaram,306119,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gangudi Valasa,306166,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Garugubilli,306033,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gatuguda,306259,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gazzela Garuvu,306268,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Getu Valasa,306014,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Golamalapalle,306220,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gondiguda,306023,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Goppula Palem,306225,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gorregommu,306165,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gottipadu,306027,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gudem,306099,rural
ALLURI SITHARAMA RAJU,15,ANANTHAGIRI,6,Gujjali,306214,rural
